,bt,bz,yogunluk,hız,kp
0,2.9,0.8,7.8,299.0,3.0
1,4.0,-0.3,8.3,300.0,3.0
3,4.4,1.6,7.6,302.0,0.0
4,4.1,0.3,7.5,311.0,0.0
5,4.2,-1.9,6.4,313.0,0.0
6,4.3,-3.3,8.5,326.0,0.0
7,3.9,-3.0,8.0,330.0,0.0
8,3.9,-1.5,8.5,329.0,7.0
9,4.8,1.8,9.0,324.0,7.0
10,4.8,-0.4,7.5,317.0,7.0
11,4.5,0.4,7.4,313.0,7.0
12,4.1,0.5,9.0,323.0,7.0
13,3.8,-1.5,9.5,339.0,7.0
14,4.5,1.0,8.9,327.0,13.0
15,4.4,-0.4,8.0,327.0,13.0
16,4.0,-0.4,9.6,329.0,13.0
17,3.3,-0.3,11.2,328.0,10.0
18,2.7,-0.3,12.4,327.0,10.0
19,2.7,-0.2,12.5,327.0,10.0
20,2.3,0.4,13.0,325.0,7.0
21,2.7,1.2,12.8,314.0,7.0
22,3.5,1.1,11.5,310.0,7.0
23,4.7,0.3,10.5,307.0,0.0
24,3.8,0.3,12.8,309.0,0.0
26,3.8,1.5,12.5,311.0,0.0
27,3.8,1.4,10.4,317.0,0.0
28,3.6,1.9,9.5,315.0,0.0
29,3.6,-1.4,9.7,314.0,3.0
30,3.8,-2.2,9.8,317.0,3.0
31,4.1,-1.0,8.3,319.0,3.0
32,4.3,1.4,5.5,324.0,3.0
33,3.3,0.3,5.0,334.0,3.0
34,2.3,-0.1,5.4,339.0,3.0
35,2.2,-1.5,5.4,335.0,3.0
36,2.5,-1.2,4.8,326.0,3.0
37,2.3,-0.7,5.1,323.0,3.0
38,1.9,-0.6,6.2,326.0,7.0
39,1.7,-0.8,7.4,337.0,7.0
40,1.9,-0.2,8.5,343.0,7.0
41,3.2,1.9,5.9,351.0,10.0
42,3.4,2.3,5.5,365.0,10.0
43,4.6,2.0,5.7,372.0,10.0
44,4.4,-1.8,6.6,378.0,10.0
45,4.4,-0.9,6.8,363.0,10.0
46,4.0,0.3,11.4,349.0,10.0
47,2.2,0.9,15.6,342.0,7.0
48,1.7,0.6,17.6,343.0,7.0
49,2.9,1.0,16.2,340.0,7.0
50,2.3,0.2,14.4,334.0,10.0
51,3.4,-0.8,14.0,331.0,10.0
52,5.5,-3.4,18.3,339.0,10.0
53,9.2,-6.8,14.6,340.0,27.0
55,9.1,-5.6,10.6,353.0,27.0
56,7.4,-2.3,9.3,360.0,20.0
57,6.4,5.7,7.9,365.0,20.0
58,5.9,1.3,7.9,360.0,20.0
59,5.6,-2.7,7.2,362.0,10.0
60,4.7,1.6,7.3,357.0,10.0
61,6.5,-4.5,7.3,349.0,10.0
62,6.5,-0.7,9.3,348.0,7.0
63,6.5,2.0,9.2,353.0,7.0
64,6.5,5.1,8.7,347.0,7.0
65,6.2,5.0,7.6,348.0,3.0
67,6.5,0.2,5.8,359.0,3.0
68,6.7,-4.4,3.7,379.0,13.0
69,5.8,-2.5,3.8,392.0,13.0
70,5.0,-2.0,4.5,392.0,13.0
71,4.7,-2.5,5.0,395.0,17.0
72,4.3,-0.9,4.6,401.0,17.0
73,4.8,3.3,5.0,394.0,17.0
74,5.0,0.8,3.8,387.0,7.0
76,3.7,-0.9,3.4,388.0,7.0
77,3.0,-0.5,3.9,385.0,7.0
78,2.7,0.9,3.4,388.0,7.0
79,2.8,-0.9,3.6,385.0,7.0
80,2.4,-0.5,3.3,389.0,7.0
81,3.6,-0.4,2.7,394.0,7.0
82,4.2,-1.6,2.8,389.0,7.0
83,4.4,-1.6,3.4,385.0,10.0
84,4.8,-2.0,4.0,395.0,10.0
85,5.8,-2.2,4.6,395.0,10.0
86,6.6,-3.6,4.6,392.0,20.0
87,7.5,-4.2,4.1,389.0,20.0
88,7.7,-3.9,4.5,387.0,20.0
89,7.7,-3.1,4.2,385.0,23.0
90,7.9,-3.3,4.3,378.0,23.0
91,8.1,-3.9,4.2,366.0,23.0
92,8.2,-3.5,4.5,356.0,20.0
93,8.2,-3.6,4.9,347.0,20.0
94,8.8,-3.4,5.0,348.0,20.0
95,9.2,-2.9,4.9,346.0,17.0
96,9.4,-3.1,5.0,352.0,17.0
97,9.2,-2.3,5.3,346.0,17.0
98,9.0,-2.5,6.3,344.0,10.0
99,9.8,-1.3,7.1,339.0,10.0
100,10.1,-0.8,7.3,343.0,10.0
101,9.8,1.1,10.7,345.0,17.0
102,9.8,5.6,5.9,356.0,17.0
103,9.0,3.1,4.9,365.0,17.0
104,7.5,3.7,7.1,383.0,13.0
105,8.9,3.9,7.6,384.0,13.0
106,9.4,1.4,7.4,375.0,13.0
107,10.0,-0.3,10.6,383.0,20.0
108,10.3,-1.6,8.9,370.0,20.0
109,9.5,3.5,14.6,367.0,20.0
110,8.3,1.5,14.0,361.0,20.0
111,7.7,-0.4,14.3,386.0,20.0
112,9.6,5.3,17.4,418.0,20.0
113,8.3,-1.1,19.1,429.0,33.0
114,8.4,0.9,12.7,422.0,33.0
115,6.5,0.5,10.1,445.0,33.0
116,7.5,2.0,7.6,467.0,27.0
117,6.3,0.5,4.9,482.0,27.0
118,4.1,-2.2,3.8,518.0,27.0
119,2.9,-1.4,2.8,531.0,33.0
120,2.4,-1.1,3.2,527.0,33.0
121,3.5,0.3,2.7,525.0,33.0
122,3.7,-0.2,2.8,534.0,30.0
123,3.8,-2.8,3.4,534.0,30.0
124,4.4,0.2,3.7,524.0,30.0
